Standardized term,Alternative spellings,,,,,,,,,,,,,,,,,,,
administrator,administrator,admin,administrative,administration,admnstrative,administrato,adminstr,admv,admn,administr,admininstrator,,,,,,,,,
analyst,anal,anlst,analytical,anlyst,analysis,analy,analys,anyst,ana,anlys,analysti,anylst,,,,,,,,
animal,anim,anml,,,,,,,,,,,,,,,,,,
application,app,application,applications,appl,apps,applic,,,,,,,,,,,,,,
archivist,archives,arch,archvst,archive,,,,,,,,,,,,,,,,
assistant,asst,ast,assis,assist,assistan,assisting,assista,assistance,astt,assit,assst,assistantay,assisstant,,,,,,,
associate,assoc,assc,asso,asoc,,,,,,,,,,,,,,,,
clerical,clerk,,,,,,,,,,,,,,,,,,,
clinical,clin,clincl,clinician,clinicn,cl,clinic,clncl,clinics,cl,,,,,,,,,,,
communication,comm,communications,comnc,com,communicate,telecommunications,communicatns,communicati,communi,communic,,,,,,,,,,
compliance,compl,compli,complia,cmplnc,,,,,,,,,,,,,,,,
computer,computational,comput,computing,comptnl,cmptr,cmput,,,,,,,,,,,,,,,
consultant,conslt,consulting,cnst,consultation,cons,consult,,,,,,,,,,,,,,
coordinator,coord,coo,crd,coords,coor,coordin,cooridnator,coordnator,coordinat,coordinating,,,,,,,,,,
data,database,dta,databs,db,,,,,,,,,,,,,,,,
develop,developer,development,dev,dvlp,devlopment,dvpmt,devel,deve,devlmnt,develop,devl,devlp,dvlpmt,develope,devp,dv,devlopmt,developmen,,
director,dir,directr,dirsci,,,,,,,,,,,,,,,,,
diversity,dvsrty,divrsty,,,,,,,,,,,,,,,,,,
division,div,divs,,,,,,,,,,,,,,,,,,
editor,edit,edtr,,,,,,,,,,,,,,,,,,
engineer,engin,engineering,engr,engring,economicsengineering,eng,engineeringnonexempt,bioengr,engagement,neuroengineeri,bioengineering,engineerin,,,,,,,,
evaluation,evaluations,eval,evaluator,,,,,,,,,,,,,,,,,
executive,exec,,,,,,,,,,,,,,,,,,,
faculty,fac,,,,,,,,,,,,,,,,,,,
fellow,fellowship,fel,fellw,flw,,,,,,,,,,,,,,,,
financial,finance,fin,finan,finances,,,,,,,,,,,,,,,,
general,gen,,,,,,,,,,,,,,,,,,,
grant,grants,grnts,grnt,grts,,,,,,,,,,,,,,,,
graphic,graphics,,,,,,,,,,,,,,,,,,,
human,hum,humn,hm,,,,,,,,,,,,,,,,,
informatics,bioinformatics,inform,bioinfo,info,informatics,bioinformaticist,researchinformatics,informaticist,bioinformatic,bioinformatician,bioinformat,bioinform,inf,,,,,,,
interviewer,interview,,,,,,,,,,,,,,,,,,,
junior,jr,,,,,,,,,,,,,,,,,,,
laboratory,lab,laboratories,labs,labs,laborator,,,,,,,,,,,,,,,
librarian,library,libr,lib,libraries,lbry,,,,,,,,,,,,,,,
machinist,machine,,,,,,,,,,,,,,,,,,,
manager,mgr,mgmt,mgmnt,mg,mngr,mgt,mgrl,managerial,managing,management,manger,manag,managr,,,,,,,
marketing,mrktg,,,,,,,,,,,,,,,,,,,
mechanic,mechanician,mech,mechanical,,,,,,,,,,,,,,,,,
media,mltmedia,multimedia,,,,,,,,,,,,,,,,,,
patient,outpatient,pat,,,,,,,,,,,,,,,,,,
professional,paraprofessional,paraprof,,,,,,,,,,,,,,,,,,
program,pr,programs,prog,prg,pro,prgm,progr,progs,prgms,prgrms,prgrm,progrm,prgs,,,,,,,
programmer,programmer,prgmr,programming,prgmming,prgrmmr,prgrmr,progrmr,programer,,,,,,,,,,,,
project,proj,projects,prj,projcts,projs,,,,,,,,,,,,,,,
proposal,prpsl,,,,,,,,,,,,,,,,,,,
quality,qual,,,,,,,,,,,,,,,,,,,
regulatory,regultry,,,,,,,,,,,,,,,,,,,
research,rsrch,resrch,researcher,res,rsch,researche,reserach,reseach,esearch,resear,rresearch,rschr,reasearch,rsearch,resch,resr,rser,,,
resource,resourc,resouces,,,,,,,,,,,,,,,,,,
safety,safe,biosafety,,,,,,,,,,,,,,,,,,
scholar,schlr,,,,,,,,,,,,,,,,,,,
sci,science,sci,scient,scienc,sciences,scientific,scien,scient,scientist,,,,,,,,,,,
secretary,secretarial,,,,,,,,,,,,,,,,,,,
senior,sr,sen,senio,senr,snr,senoir,,,,,,,,,,,,,,
software,softwar,softwa,sftwr,soft,,,,,,,,,,,,,,,,
specialist,spec,spc,spclst,spl,spe,speclst,spec,splst,,,,,,,,,,,,
statistics,statistician,statistical,biostatistician,statl,biostat,biostatistics,biostatn,biostats,statis,,,,,,,,,,,
subject,subjects,subj,,,,,,,,,,,,,,,,,,
supervisor,supervisor,supv,supr,supvg,spvr,supervisory,supervsr,supvsr,spvsr,supvr,superviso,,,,,,,,,
support,sup,spt,supp,suprt,supprt,,,,,,,,,,,,,,,
technician,tech,technlgist,techn,technologist,technology,technolgist,technol,histotechnician,technl,laboratorytechnologist,techngy,histotechnologist,technolog,researchtechnician,histotechnol,technolgt,techincal,techinician,techl,technical
temporary,temp,temps,protem,tem,tempore,,,,,,,,,,,,,,,
trainee,trne,,,,,,,,,,,,,,,,,,,
web,website,,,,,,,,,,,,,,,,,,,
writer,wrtr,writing,,,,,,,,,,,,,,,,,,
designer,design
system,sys,systms,syst,systems
hourly,hrly
hourly,hrly
vet,veterinary
instructor,instructional,instr,instrn,instruction,instrnl,instructing,instruct
teacher,teaching,teac,teach
nurse,nrs,nurs
clinical,clin,clincl
trials,trls,trial
